id,phase,epic,task,priority,primary_owner,acceptance_criteria,dependency,investment_gate
MVP-012,Phase 3,Privacy,Implement export account deletion photo retention and consent controls,P0,Backend/Mobile Engineer,"End-to-end tests verify export and deletion workflow across primary data derived data and processors",DES-005|MVP-002,Gate 3
MVP-013,Phase 3,Observability,Implement redacted analytics logging and error monitoring,P0,Engineer,"Automated tests verify no meal photo weight or health content is intentionally included in telemetry",DES-005|DES-006,Gate 3
MVP-014,Phase 3,Quality,Build automated nutrition regression and API contract tests,P0,Engineer/Data analyst,"CI blocks calculation regressions schema failures and high-risk privacy test failures",CALC-001|MVP-001,Gate 3
MVP-015,Phase 3,Content,Publish methodology limitations privacy terms support and safety pages,P0,Founder/Privacy reviewer,"Pages are publicly accessible and consistent with product behavior and store declarations",DES-007|MVP-012,Gate 3
BETA-001,Phase 4,Release,Configure TestFlight and Google Play closed testing,P0,Engineer/QA,"Signed builds install; review accounts work; tester groups and release notes are documented",MVP-010|MVP-015,Gate 3
BETA-002,Phase 4,Testing,Run full device subscription offline and error-state regression,P0,QA Engineer,"Critical flows pass on agreed iOS and Android device matrix with no open blocker",BETA-001,Gate 3
BETA-003,Phase 4,Security,Complete privacy security and store-policy review,P0,Security/Privacy reviewer,"No unresolved critical or high findings; health declarations and metadata match features",MVP-012|MVP-015,Gate 3
BETA-004,Phase 4,Data quality,Expand and review 100-150 beta dish templates,P0,Nutrition reviewer/Data analyst,"Launch dishes pass source calculation and representative-quality checks",DATA-003|POC-007,Gate 3
BETA-005,Phase 4,User beta,Run 50-100 user closed beta for four weeks,P0,Founder/QA,"Cohort report includes activation retention frequency conversion refund cost and quality metrics",BETA-001|BETA-002|BETA-003|BETA-004,Gate 3
BETA-006,Phase 4,Decision,Complete Gate 3 marketplace-launch decision,P0,Founder,"All paid retention cost privacy quality and policy thresholds are explicitly approved or launch is blocked",BETA-005,Gate 3
LAUNCH-001,Phase 5,Store submission,Submit accurate iOS and Android listings and declarations,P0,Founder/Engineer,"Metadata screenshots privacy labels health declaration pricing and review credentials are complete",BETA-006,Gate 4
LAUNCH-002,Phase 5,Operations,Activate production monitoring support and incident-response ownership,P0,Founder/Engineer,"Alerts escalation contacts runbooks and breach-notification workflow are tested",BETA-006,Gate 4
LAUNCH-003,Phase 5,Go-to-market,Execute creator community and founding-member launch,P1,Founder/Growth,"Campaign uses approved claims and tracks source activation conversion retention and CAC",LAUNCH-001|LAUNCH-002,Gate 4
LAUNCH-004,Phase 5,Post-launch review,Run 30-day product economics and safety review,P0,Founder/Data analyst,"Decision report covers retention contribution margin AI cost support issues refunds policy incidents and next roadmap",LAUNCH-003,Gate 4
